"Var1" "Freq"
"1044" "fool" 2
"1045" "foolish" 2
"1046" "forc'd" 2
"1047" "forced" 2
"1048" "forces," 2
"1049" "foreign" 2
"1050" "forg'd" 2
"1051" "forget" 2
"1052" "form'd" 2
"1053" "forth," 2
"1054" "fowl" 2
"1055" "friendly" 2
"1056" "full," 2
"1057" "fury," 2
"1058" "future;" 2
"1059" "garlands" 2
"1060" "gather'd" 2
"1061" "gave," 2
"1062" "given." 2
"1063" "glad" 2
"1064" "glory" 2
"1065" "God." 2
"1066" "Gods." 2
"1067" "goods" 2
"1068" "gracious" 2
"1069" "grant," 2
"1070" "grave," 2
"1071" "great," 2
"1072" "Grecian" 2
"1073" "greet" 2
"1074" "grey" 2
"1075" "grieve," 2
"1076" "grim" 2
"1077" "guard" 2
"1078" "guests" 2
"1079" "hair" 2
"1080" "hall" 2
"1081" "hang" 2
"1082" "Have" 2
"1083" "have," 2
"1084" "haven," 2
"1085" "He's" 2
"1086" "heads" 2
"1087" "heard," 2
"1088" "heart," 2
"1089" "heart." 2
"1090" "hearty" 2
"1091" "Heaven" 2
"1092" "heaven;" 2
"1093" "heaven." 2
"1094" "heavenly" 2
"1095" "height," 2
"1096" "Helen" 2
"1097" "help" 2
"1098" "her," 2
"1099" "heroes" 2
"1100" "herself" 2
"1101" "hid" 2
"1102" "Hid" 2
"1103" "high," 2
"1104" "higher" 2
"1105" "him;" 2
"1106" "Himself" 2
"1107" "hind" 2
"1108" "holds" 2
"1109" "holds," 2
"1110" "hollow" 2
"1111" "honey" 2
"1112" "honour," 2
"1113" "horrible" 2
"1114" "horse" 2
"1115" "hound" 2
"1116" "hour" 2
"1117" "household" 2
"1118" "How" 2
"1119" "humour" 2
"1120" "hundred" 2
"1121" "husband" 2
"1122" "husbands" 2
"1123" "I." 2
"1124" "If," 2
"1125" "Ilion," 2
"1126" "impair" 2
"1127" "infinite" 2
"1128" "instantly" 2
"1129" "instrument" 2
"1130" "intent" 2
"1131" "Into" 2
"1132" "inward" 2
"1133" "itself," 2
"1134" "javelin" 2
"1135" "jaws," 2
"1136" "joint" 2
"1137" "joints" 2
"1138" "Jove;" 2
"1139" "judge" 2
"1140" "Juno" 2
"1141" "just," 2
"1142" "knees" 2
"1143" "knees;" 2
"1144" "knowledge," 2
"1145" "last" 2
"1146" "late" 2
"1147" "laugh'd" 2
"1148" "Lay" 2
"1149" "lay," 2
"1150" "lead" 2
"1151" "learn" 2
"1152" "leaves" 2
"1153" "leaves," 2
"1154" "less" 2
"1155" "Lest" 2
"1156" "lie" 2
"1157" "lie." 2
"1158" "limbs," 2
"1159" "little" 2
"1160" "little," 2
"1161" "live," 2
"1162" "liver" 2
"1163" "lives," 2
"1164" "living" 2
"1165" "load" 2
"1166" "long," 2
"1167" "longer" 2
"1168" "looks," 2
"1169" "lost," 2
"1170" "Lotophagi," 2
"1171" "loves" 2
"1172" "lower" 2
"1173" "lurks" 2
"1174" "lust," 2
"1175" "made," 2
"1176" "main" 2
"1177" "Make" 2
"1178" "make," 2
"1179" "makes," 2
"1180" "making" 2
"1181" "man." 2
"1182" "manure" 2
"1183" "massy" 2
"1184" "me." 2
"1185" "mead," 2
"1186" "mean" 2
"1187" "means," 2
"1188" "meat" 2
"1189" "meet" 2
"1190" "men;" 2
"1191" "men's" 2
"1192" "mere" 2
"1193" "met," 2
"1194" "midst" 2
"1195" "might," 2
"1196" "mine," 2
"1197" "Minerva's" 2
"1198" "miss'd" 2
"1199" "mist" 2
"1200" "More" 2
"1201" "more." 2
"1202" "mortal" 2
"1203" "mortals," 2
"1204" "most." 2
"1205" "mother's" 2
"1206" "mountain" 2
"1207" "mov'd" 2
"1208" "moves" 2
"1209" "moving" 2
"1210" "Much" 2
"1211" "much," 2
"1212" "multitude," 2
"1213" "myself," 2
"1214" "N" 2
"1215" "name" 2
"1216" "natural" 2
"1217" "need" 2
"1218" "Need" 2
"1219" "needs" 2
"1220" "Neptune," 2
"1221" "nerves" 2
"1222" "nerves," 2
"1223" "news" 2
"1224" "next" 2
"1225" "night," 2
"1226" "None" 2
"1227" "none," 2
"1228" "odour" 2
"1229" "offence" 2
"1230" "Offer'd" 2
"1231" "Old" 2
"1232" "ope" 2
"1233" "open" 2
"1234" "oppressed" 2
"1235" "Orion," 2
"1236" "out." 2
"1237" "over" 2
"1238" "oxen," 2
"1239" "Paris" 2
"1240" "part," 2
"1241" "parts," 2
"1242" "passing" 2
"1243" "past," 2
"1244" "peace," 2
"1245" "perish'd" 2
"1246" "person" 2
"1247" "Phaeacian" 2
"1248" "piety," 2
"1249" "pile" 2
"1250" "Pirithous," 2
"1251" "plac'd" 2
"1252" "place;" 2
"1253" "place." 2
"1254" "please" 2
"1255" "please." 2
"1256" "plough" 2
"1257" "point" 2
"1258" "pour" 2
"1259" "pours" 2
"1260" "pow'r." 2
"1261" "powers" 2
"1262" "Powers" 2
"1263" "pray" 2
"1264" "precious" 2
"1265" "presence" 2
"1266" "prey" 2
"1267" "Priam," 2
"1268" "Priam's" 2
"1269" "privy" 2
"1270" "proof" 2
"1271" "pure" 2
"1272" "puts" 2
"1273" "Quickly" 2
"1274" "quit" 2
"1275" "race" 2
"1276" "rais'd" 2
"1277" "raise," 2
"1278" "raised" 2
"1279" "ran" 2
"1280" "ranks," 2
"1281" "rare" 2
"1282" "raves," 2
"1283" "reach," 2
"1284" "receipt" 2
"1285" "recompense" 2
"1286" "repair" 2
"1287" "retreat" 2
"1288" "retreat," 2
"1289" "reveal'd," 2
"1290" "reverend" 2
"1291" "richer" 2
"1292" "rising" 2
"1293" "rites" 2
"1294" "rites," 2
"1295" "river" 2
"1296" "robe" 2
"1297" "room" 2
"1298" "roots" 2
"1299" "round," 2
"1300" "rub" 2
"1301" "run" 2
"1302" "sable" 2
"1303" "same" 2
"1304" "say" 2
"1305" "scarce" 2
"1306" "scorn" 2
"1307" "Scylla" 2
"1308" "seat," 2
"1309" "seated" 2
"1310" "seek'st" 2
"1311" "seem'd" 2
"1312" "sees," 2
"1313" "self" 2
"1314" "sends" 2
"1315" "sense" 2
"1316" "serve" 2
"1317" "shame" 2
"1318" "she," 2
"1319" "shield," 2
"1320" "shields" 2
"1321" "shifted" 2
"1322" "shine" 2
"1323" "shine," 2
"1324" "ships," 2
"1325" "Should" 2
"1326" "shoulders," 2
"1327" "show," 2
"1328" "shunn'd" 2
"1329" "side," 2
"1330" "side." 2
"1331" "sight," 2
"1332" "sire" 2
"1333" "slaughter'd" 2
"1334" "slept" 2
"1335" "sly" 2
"1336" "snow" 2
"1337" "soil" 2
"1338" "Some" 2
"1339" "son;" 2
"1340" "son.\"" 2
"1341" "song," 2
"1342" "spacious" 2
"1343" "spake" 2
"1344" "spirit," 2
"1345" "spirits," 2
"1346" "spring" 2
"1347" "stands" 2
"1348" "steel," 2
"1349" "stern" 2
"1350" "Stood" 2
"1351" "stood," 2
"1352" "stop" 2
"1353" "store," 2
"1354" "stormy" 2
"1355" "strength;" 2
"1356" "strife" 2
"1357" "strife;" 2
